City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
606,Tabou,CI,80.08,overcast clouds,4.423,-7.3528,hotêl doufoulougou
607,Fayaoue,NC,80.69,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
609,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
610,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Poutur Pousada
619,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
630,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
631,Puerto Rondon,CO,83.39,heavy intensity rain,6.2805,-71.1,Urbanización Santa Clara
632,Biak,ID,75.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
640,Green Valley,US,81.43,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
649,Dwarka,IN,76.87,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
651,Bireun,ID,76.41,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
652,Mahajanga,MG,82.42,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
659,Manokwari,ID,78.33,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
661,Tres Lagoas,BR,81.66,moderate rain,-20.7511,-51.6783,Druds Express Hotel
662,Kailua,US,79.14,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
664,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
667,Sao Gabriel Da Cachoeira,BR,82.35,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
668,Antsohihy,MG,76.96,scattered clouds,-14.8796,47.9875,Hotel de Ville
670,Pacific Grove,US,77.38,clear sky,36.6177,-121.9166,Lovers Point Inn
