City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Tessalit,ML,20.1986,1.0114,73.2,24,1,11.54,clear sky
228,Topeka,US,39.0483,-95.678,75.11,37,1,4.0,clear sky
229,Gilgit,PK,35.9221,74.3087,41.86,52,10,3.53,clear sky
230,Lorengau,PG,-2.0226,147.2712,82.26,78,100,7.23,overcast clouds
231,Iquique,CL,-20.2208,-70.1431,69.84,70,15,5.41,few clouds
232,Nanortalik,GL,60.1432,-45.2371,33.96,99,100,16.53,light rain
233,Tarko-Sale,RU,64.9225,77.785,17.55,94,100,15.82,overcast clouds
234,Alice Springs,AU,-23.7,133.8833,58.55,77,0,0.0,clear sky
235,Qingdao,CN,36.0986,120.3719,40.6,93,75,26.84,broken clouds
236,Arica,CL,-18.475,-70.3042,76.55,64,0,14.97,clear sky
237,Gasa,PS,31.5,34.4667,73.89,34,37,12.06,scattered clouds
238,Mantua,IT,45.1667,10.7833,45.34,83,82,3.0,broken clouds
239,Havoysund,NO,70.9963,24.6622,16.03,79,31,11.77,scattered clouds
240,Casambalangan,PH,18.3765,122.1274,76.86,90,99,4.79,overcast clouds
241,Upernavik,GL,72.7868,-56.1549,22.01,96,100,5.1,light snow
242,Ancud,CL,-41.8697,-73.8203,64.22,65,41,5.23,scattered clouds
243,Klaksvik,FO,62.2266,-6.589,36.52,63,100,19.44,overcast clouds
244,Te Anau,NZ,-45.4167,167.7167,55.06,62,66,0.2,broken clouds
245,Riviere-Au-Renard,CA,48.9957,-64.3971,30.2,76,100,10.4,overcast clouds
246,Malinyi,TZ,-8.9333,36.1333,73.74,86,39,1.66,scattered clouds
247,Mandalgovi,MN,45.7625,106.2708,12.36,68,0,9.15,clear sky
248,Labuhan,ID,-6.8844,112.2051,77.5,85,100,7.16,light rain
249,Lata,PT,40.1629,-8.3327,50.81,81,95,2.8,overcast clouds
250,Homer,US,59.6425,-151.5483,19.27,86,90,16.11,overcast clouds
251,Cassilandia,BR,-19.1133,-51.7342,80.67,76,100,4.29,heavy intensity rain
252,Haines Junction,CA,60.7522,-137.5108,-11.25,77,100,2.3,overcast clouds
253,Egvekinot,RU,66.3167,-179.1667,-7.31,76,100,3.6,overcast clouds
254,Balkanabat,TM,39.5108,54.3671,54.93,42,6,5.48,clear sky
255,Guerrero Negro,MX,27.9769,-114.0611,78.84,30,0,8.23,clear sky
256,Caaguazu,PY,-25.45,-56.0167,74.93,59,34,4.45,scattered clouds
257,Buala,SB,-8.145,159.5921,82.83,78,100,6.15,light rain
258,Kokorevka,RU,52.5872,34.2778,47.16,91,100,15.52,moderate rain
259,Harper,LR,4.375,-7.7169,79.83,77,100,5.7,overcast clouds
260,Inhambane,MZ,-23.865,35.3833,73.11,76,0,11.18,clear sky
261,Mamallapuram,IN,12.6264,80.1722,80.06,84,100,9.24,overcast clouds
262,Lagoa,PT,39.05,-27.9833,60.78,56,68,2.91,broken clouds
263,Fare,PF,-16.7,-151.0167,80.76,77,100,15.19,light rain
264,Mahebourg,MU,-20.4081,57.7,74.25,78,20,3.44,few clouds
265,Pavlovo,RU,55.9686,43.0912,36.75,95,100,13.53,overcast clouds
266,Obo,CF,5.3998,26.4869,70.72,87,100,3.67,light rain
267,Velingara,SN,13.15,-14.1167,82.94,22,98,6.22,overcast clouds
268,Sur,OM,22.5667,59.5289,72.68,76,0,7.16,clear sky
269,Cockburn Town,TC,21.4612,-71.1419,82.36,61,75,23.02,broken clouds
270,Filingue,NE,14.3521,3.3168,81.23,10,25,9.06,scattered clouds
271,Broken Hill,AU,-31.95,141.4333,64.11,72,75,0.0,broken clouds
272,Abu Samrah,SY,35.3029,37.1841,63.27,52,100,4.27,overcast clouds
273,Ponta Do Sol,PT,32.6667,-17.1,64.71,72,18,5.01,few clouds
274,Hovd,MN,48.0056,91.6419,15.31,45,0,0.81,clear sky
275,Dullewala,PK,31.8359,71.4362,62.29,31,90,6.13,overcast clouds
276,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,86,90,8.95,shower snow
277,Kavaratti,IN,10.5669,72.642,80.94,81,88,13.04,overcast clouds
278,Lixourion,GR,38.2019,20.4314,54.23,85,81,29.1,broken clouds
279,Paranhos,BR,-23.8928,-55.4311,76.89,44,36,6.58,scattered clouds
280,Ilinskiy,RU,55.619,38.1182,39.88,93,90,13.42,light intensity drizzle
281,Kuching,MY,1.55,110.3333,75.42,94,40,2.3,moderate rain
282,Grindavik,IS,63.8424,-22.4338,32.47,100,90,9.22,snow
283,Barga,IT,44.0742,10.4808,40.21,46,44,4.9,scattered clouds
284,Turukhansk,RU,65.8167,87.9833,0.84,95,100,17.02,snow
285,Teknaf,BD,20.8624,92.3058,67.8,68,78,5.68,broken clouds
286,Ostrovnoy,RU,68.0531,39.5131,6.19,77,79,5.5,broken clouds
287,Krompachy,SK,48.9145,20.8751,34.12,94,50,3.56,scattered clouds
288,Guarda,PT,40.5373,-7.2658,37.24,88,14,3.15,few clouds
289,Grand Gaube,MU,-20.0064,57.6608,74.37,70,1,3.0,clear sky
290,Bentiu,SS,9.2333,29.8333,82.47,42,89,3.53,overcast clouds
291,Silver City,US,32.7701,-108.2803,64.69,22,1,1.99,clear sky
292,Ondangwa,NA,-17.9167,15.95,78.22,42,45,12.88,scattered clouds
293,Karlshamn,SE,56.1706,14.8619,24.91,61,70,5.77,broken clouds
294,Mayumba,GA,-3.432,10.6554,77.36,89,100,6.89,overcast clouds
295,Victoria,HK,22.2855,114.1577,71.33,66,1,1.01,clear sky
296,Baishishan,CN,43.5833,127.5667,23.07,95,100,2.62,snow
297,Saint-Augustin,CA,51.226,-58.6502,33.93,74,100,5.73,overcast clouds
298,Renigunta,IN,13.65,79.5167,72.93,93,58,2.59,moderate rain
299,Hondo,JP,32.45,130.2,50.95,75,52,9.73,broken clouds
300,Henties Bay,NA,-22.116,14.2845,58.86,92,0,6.58,clear sky
301,Pueblo,US,38.2545,-104.6091,77.85,18,1,1.99,clear sky
302,Great Yarmouth,GB,52.6083,1.7305,38.23,79,98,19.33,light rain
303,Blind River,CA,46.1834,-82.9582,34.05,78,96,3.04,overcast clouds
304,West Odessa,US,31.8424,-102.4988,77.41,21,1,10.36,clear sky
305,San Patricio,US,28.017,-97.5169,73.38,40,32,3.98,scattered clouds
